home,affect,certain,hear,cogproc,body,relativ,time,focusfuture,family,discrep,power,differ,sad,death,percept,focuspresent,female,space,risk,informal,posemo,feel,insight,health,assent,sexual,netspeak,nonflu,work,reward,anx,money,affiliation,achiev,negemo,cause,drives,tentat,bio,social,leisure,anger,motion,ingest,relig,friend,focuspast,male,see,filler,swear
0.0041441335,0.015446744,0.020199934,0.021150924,0.01790746,0.015398914,0.009266136,0.01396891,0.016816212,-0.005712911,0.015566242,0.004896043,0.018179279,0.013027579,-0.009392767,0.013459419,0.019943412,0.011933863,0.00755731,0.00473923,0.018610425,0.020266375,0.010114102,0.02265022,0.007302936,0.023483524,0.014204098,0.02210403,0.004692833,0.0072146095,0.022563318,0.004886663,0.012940689,0.0069545195,0.012445053,0.010835608,0.012547452,0.0075624525,0.014311319,0.010233669,0.011595938,0.007257228,0.010609333,0.007198699,0.0049959244,0.009041367,0.010084164,0.012620701,0.0045544254,0.012331689,0.019724334,0.017181948
-0.027086137,-0.0078619635,-0.012037786,-0.02319832,-0.018363401,-0.027797444,-0.017974395,-0.01021867,-0.02461509,-0.01126626,-0.02371215,-0.011724114,-0.0065414067,0.0012262788,-0.014259027,-0.021484308,-0.01734008,-0.011856817,-0.020037152,-0.02007171,-0.021959996,-0.006447382,-0.021985548,-0.026134871,-0.009693303,-0.01123623,-0.0136959115,-0.024438037,-0.035418827,-0.014427638,-0.010960892,-0.016518958,-0.008693742,-0.022504507,-0.01752744,-0.009665094,-0.011688328,-0.015376169,-0.021066267,-0.018554177,-0.019262042,-0.01584128,-0.013193395,-0.02297261,-0.023515824,-0.012546187,-0.019271672,-0.032660052,-0.017047597,-0.024856372,-0.025817905,-0.018874157
-0.020244967,-0.012305811,-0.015232754,-0.0033872074,-0.0116055235,-0.010318556,-0.013826411,-0.011272441,-0.0009877316,-0.03379514,-0.010366669,-0.020691758,-0.011772572,-0.014346651,-0.012742858,-0.009644133,-0.012877301,-0.020072335,-0.015239026,-0.010201556,-0.004506299,-0.010006902,-0.016545795,-0.008735835,-0.015548127,0.015032957,-0.015940944,-0.002555427,0.0037020093,-0.018442584,-0.013523065,-0.015893422,-0.005379041,-0.016320128,-0.009184366,-0.014523386,-0.013663449,-0.016265282,-0.008162194,-0.014985031,-0.016779471,-0.015474991,-0.016559862,-0.0137462085,-0.021498084,-0.010025025,-0.018715935,-0.011221683,-0.024667183,-0.0056590736,0.023128653,-0.010920184
-0.016477391,-0.018946588,-0.01796339,-0.020379968,-0.018324848,-0.020210216,-0.0023469215,-0.005191389,-0.010714532,-0.019471303,-0.034458254,-0.017462045,-0.03295455,-0.029713143,-0.031015676,-0.01603572,-0.014027769,-0.016984083,-0.0033368198,-0.013117414,-0.022663452,-0.014034718,-0.015593887,-0.012423049,-0.026197443,-0.012425548,-0.017589863,-0.020154554,-0.037035733,-0.014229344,-0.0040338975,-0.014670106,-0.021867048,-0.0019081922,-0.010259246,-0.02398426,-0.012976035,-0.01147564,-0.018144453,-0.018272506,-0.01705463,-0.011855313,-0.02206825,0.0020243996,-0.010588517,-0.007465893,-0.0035400654,-0.019657979,-0.01856132,-0.012983872,-0.014505013,-0.027635517
0.020158064,0.008431461,0.005627355,0.006465819,0.00043769367,0.021405732,0.0015639584,0.003023108,-0.0027580308,0.020993168,0.00023918226,-0.0011395245,0.0020959158,0.0091582015,-0.004055644,0.012708489,-0.013105843,0.034554582,0.0037734355,-0.015973281,0.002798606,0.005673987,0.0132417,-0.006114187,0.010666483,0.017563628,0.009996929,-0.0025133349,0.022565858,-0.011258902,-0.00046164752,0.013893462,-0.0040796828,0.0026592412,-0.01157281,0.011064706,-0.0047281818,-0.0026724609,0.0072760563,0.017069926,0.0042626504,0.003868113,0.0061777807,-0.003569177,0.017075075,-0.00270372,0.0072875204,0.007260405,0.005308499,0.006492588,0.013242498,0.00044344508
-0.02750566,-0.036215913,-0.04226252,-0.032958224,-0.034497034,-0.019734684,-0.028305424,-0.03172181,-0.03387459,-0.03978114,-0.027451016,-0.029477041,-0.04260958,-0.030876411,-0.03209855,-0.02165821,-0.047069635,-0.046640743,-0.028444676,-0.032362342,-0.03714732,-0.032575358,-0.021844354,-0.035568025,-0.011722241,-0.022525214,-0.033340625,-0.03421824,-0.061757967,-0.038111478,-0.038452007,-0.05641064,-0.0512016,-0.043604814,-0.033688784,-0.04000837,-0.036766984,-0.033985436,-0.017399943,-0.018975817,-0.036300678,-0.024027685,-0.04885569,-0.023985386,-0.019479558,-0.03408462,-0.04093822,-0.013014133,-0.031705115,-0.012586064,-0.038193166,-0.05073389
0.009530831,-0.0005516276,-0.0108137615,0.007094121,-0.0057532336,0.009626001,0.0028713022,0.0009948435,-0.0060677137,0.02684967,-0.0021032777,0.006224588,0.00053549686,0.0028553444,0.005782159,0.009657633,0.0013241896,0.02254134,0.0033328,-0.000926607,-0.0044563673,-0.0006662191,0.011625182,-0.0074543883,0.009664115,-0.026110474,0.013729698,-0.0054340656,-0.016115025,0.0021970714,0.0014643578,-0.008926261,-0.0005354109,0.0044945898,-0.0009957693,-0.00021263541,-0.0006913033,0.004005471,-0.011442267,0.012035635,0.006863339,0.010917854,-0.0030763687,0.004769223,0.02036057,0.013317487,0.0054276655,-0.0057371976,0.014357433,0.005206446,-0.027584868,0.005299295
0.01674262,0.009269991,-0.0033008603,0.010808748,0.00877488,0.018869262,0.01968172,0.006457335,0.008190134,0.009900295,-0.0010732583,0.015372072,0.0009205643,0.022768376,0.012101427,0.022148529,0.017131831,0.02645042,0.025537753,0.009299983,0.0023372364,0.006128265,0.02044796,0.016385151,0.01890048,-0.012917709,0.009827123,0.0034708104,-0.0049502673,0.01787857,0.010594407,0.008268107,0.0135308495,0.014565559,0.018830582,0.013164308,0.018300198,0.014723635,0.008948146,0.015860312,0.013927794,0.01941102,0.009860853,0.027085213,0.0136849005,0.014818462,0.013700448,0.015101772,0.012884233,0.034679107,0.015012541,0.0077440217
0.026217137,0.029999416,0.023781603,0.038871903,0.02293362,0.02084533,0.024570864,0.014724812,0.018404812,0.017092453,0.024633948,0.02537846,0.018476434,0.027914891,0.014920592,0.03308302,0.027467607,0.01524059,0.025761468,0.02453417,0.0167146,0.029561939,0.03283209,0.02333535,0.03004642,0.012336111,0.015517229,0.015511379,0.017650906,0.022920502,0.03482163,0.027591892,0.026201876,0.019822814,0.028634122,0.030377043,0.02723663,0.025272485,0.021126779,0.024197271,0.024898402,0.033267923,0.03339162,0.03258493,0.02730331,0.012195334,0.015229615,0.025326282,0.0139997015,0.036286473,0.027248688,0.01883967
-0.041778445,-0.036989357,-0.035456102,-0.04181176,-0.043661658,-0.0359711,-0.034180667,-0.030888196,-0.048666526,-0.034950513,-0.050849605,-0.040599592,-0.024109488,-0.047036007,-0.051596623,-0.03566849,-0.047665004,-0.030445218,-0.03776358,-0.054545227,-0.03238706,-0.033889133,-0.025571264,-0.048842505,-0.032206517,-0.026826253,-0.034523036,-0.032216843,-0.03900654,-0.048788518,-0.04773796,-0.03287944,-0.054344237,-0.030829059,-0.047522202,-0.04035707,-0.042010803,-0.04150169,-0.052045938,-0.034369774,-0.035343457,-0.033329796,-0.040637847,-0.033200327,-0.035352796,-0.049499907,-0.02350816,-0.039502177,-0.040147077,-0.049394913,-0.012754045,-0.041841704
