reward,informal,sexual,focusfuture,family,differ,affiliation,time,ipron,function,bio,social,conj,they,death,focuspresent,assent,negemo,achiev,we,article,netspeak,i,affect,cause,friend,power,number,health,nonflu,discrep,auxverb,see,ppron,home,insight,prep,feel,tentat,posemo,motion,relig,ingest,percept,adverb,cogproc,certain,drives,filler,leisure,money,focuspast,swear,sad,negate,work,pronoun,adj,body,relativ,quant,compare,risk,interrog,hear,male,female,you,verb,shehe,anger,space,anx
0.0015884435,-0.004347604,0.0015771035,-0.0013625015,-0.009019175,0.00503774,0.0059748953,-0.0047547156,0.010028133,-0.0019707165,0.0043643373,0.009340893,-0.01694584,0.00096630503,0.028623499,-0.004720596,0.0075052306,0.00281544,0.005745487,0.017573547,0.032021385,-0.00797218,-0.014958655,0.00011907933,0.0059227594,0.010230431,0.00896228,0.0080378,0.0030188188,-0.0074754534,0.00011428769,-0.010175896,-0.0028760508,-0.0003339158,-0.0050819092,0.007514554,-0.008896847,-0.007101604,0.020336168,-0.0032193477,-0.0062402845,0.0044294805,0.011557018,-0.003179664,0.0034384746,0.008331367,0.0034345877,0.0069724326,-0.010982817,-0.0062181037,0.0025651585,-0.0019980061,-0.010739822,-0.002787137,-0.0025695253,0.010190831,0.003598628,0.0016309759,0.005878597,-0.006551806,0.011421475,0.003961888,0.005637741,0.019588828,-0.0074473303,0.006551402,-0.00023813781,0.0059301564,-0.002057124,-0.0033023946,0.006312553,-0.007445842,0.0068069636
0.03783033,0.005486729,0.01373375,0.0503339,0.042119656,0.027584877,0.027705163,0.028199894,0.018646333,0.024394365,0.01886945,0.026261238,0.021597758,0.066895284,0.04138773,0.021953844,-0.007689263,0.014811571,0.03828078,0.046046034,-0.01618551,0.006144259,0.027020775,0.019450506,0.011659553,0.050966628,0.035114255,0.013348176,0.022860594,0.001629793,0.0318003,0.028288659,-0.0047088913,0.038502883,0.029187655,0.006828998,0.012858728,-0.009045388,0.016213514,0.02433852,-0.0036566572,0.057751738,0.03471681,0.0025367853,0.024842314,0.017877987,0.030631155,0.030918373,0.05361723,0.021445692,0.03654866,0.008830582,0.008865724,0.027896328,0.041154146,0.03261685,0.031767108,0.014162069,0.0066787414,0.008865739,0.019477932,0.022350602,0.012338215,0.017857058,0.007904456,0.034206256,0.04438758,0.044559363,0.009456751,0.021888616,0.014911845,0.0033675192,-0.00721852
-0.011115908,-0.0085916985,-0.008719632,-0.0155627765,-0.0070879115,-0.01848767,-0.0047712717,-0.0053880564,-0.00844693,-0.009675561,-0.0059345365,-0.0055664666,-0.015629318,-0.01030507,0.0035313687,-0.008414016,-0.015214177,-0.0071939593,-0.009805666,0.005647316,-0.01808706,-0.010068039,-0.00578305,-0.009959551,-0.009129597,-0.0011926701,-0.0014099146,0.006777069,-0.004413472,-0.018434895,-0.012500032,-0.009303323,-0.010474468,-0.0061314646,-0.0038381466,-0.011350766,-0.0053919,-0.008704949,-0.013019673,-0.012705039,-0.008782177,-0.0027187972,-0.0040893243,-0.008681512,-0.017590672,-0.012766693,-0.013220249,-0.0049819835,-0.012443904,-0.0076948716,-0.0016838645,-0.0071896687,-0.003775028,-0.001735997,-0.0024705643,-0.0046329163,-0.006951392,-0.008517747,-0.005452432,-0.007775565,-0.0041849543,-0.008093629,-0.012350489,-0.0081010675,0.00022767525,-0.0056210207,-0.007746981,-0.006715497,-0.008167353,-0.009550155,-0.004739314,-0.008574517,-0.017739177
0.005423898,-0.005942616,-0.014130712,-0.0073136115,-0.010308363,-0.0022528619,-0.0046419622,-0.0069715003,-0.006868697,-0.011219096,-0.01223016,-0.0020489376,-0.01057336,-0.03103152,-0.0095289005,0.007624582,0.012788992,0.0012589463,0.005133574,-0.041201375,-0.012260327,-0.006766156,-0.006301092,0.0032296877,0.0010983946,-0.009553093,0.0014760838,-0.0023811106,-0.0073541803,-0.011290176,-0.00581397,-0.012206483,0.00972111,-0.018361455,-0.007998103,0.010946204,-0.009758516,0.008952442,0.009769376,0.005124866,0.0053658076,-0.0046173935,-0.018173173,0.006253662,-0.010119652,0.0021049697,-0.014726606,0.0013364482,0.0041174055,-0.0017142955,0.012526882,-0.0031219237,-0.006983629,-0.008932461,0.0031921358,0.0032586302,-0.014580317,0.0016395535,-0.010726443,0.00036204106,0.003429272,-0.004817849,0.0101122,-0.0038859004,0.0071987854,-0.0071901237,-0.013703219,-0.019677052,0.0047807773,-0.011033044,0.0057626995,0.0032322824,0.0006412199
-0.010074937,-0.0020693166,-0.006736128,-0.00932804,-0.0050810473,-0.016408393,-0.00958048,-0.019530188,-0.002639079,-0.0038043885,-0.0040616966,-0.006585594,0.0003515916,0.0053793644,-0.008992029,-0.014092498,0.0082983915,-0.009940117,-0.003786515,0.0207219,-0.011252964,-0.0048204833,-0.0016289947,-0.0060464754,-0.012345274,-0.009954412,-0.007579432,-0.008313169,0.0045829057,-0.004753273,0.005995158,0.0058924127,-0.012049595,0.007396804,-0.030757135,-0.01422193,-0.012167387,-0.0064779697,-0.007800766,-0.0018635512,-0.0121725015,-0.01457609,-0.0029543224,-0.0090368595,-0.008417035,-0.010172336,-0.010511239,-0.007649086,-0.027445823,-0.006302113,-0.008948415,-0.0040597674,-0.0022040324,0.00032673797,-0.013253018,-0.0116844345,0.0038677817,-0.005321545,-0.0046183765,-0.014235059,-0.003119071,-0.012832783,-0.008173015,0.0015949955,-0.007973341,-0.0070486465,0.00911079,0.006318774,-0.007112445,0.014017818,-0.014780981,-0.013143598,-0.015865661
0.012989303,0.023990382,0.027110739,-0.0075870994,0.014477624,0.011761268,0.010268215,-0.003731844,0.008023679,0.011348614,0.01808087,0.011375117,0.007823235,-0.006733462,0.0006161047,0.01644679,0.02284265,0.026852459,0.00951466,0.008100557,0.021793982,0.020785104,0.020300513,0.02215918,0.008874611,0.0035058274,0.013522608,-0.011750161,0.014746462,0.03454895,0.020139461,0.021242201,0.006963952,0.011763944,-0.000814701,0.013391442,0.015345202,0.014427465,0.00705899,0.018136093,0.00687017,0.013659233,0.0161101,0.0118467035,-0.0011176553,0.010113371,0.009186751,0.012288313,0.021866819,0.0048617315,0.015821738,0.010169859,0.03185626,0.019836899,0.020251576,0.0082112895,0.010110888,0.011729547,0.01810474,0.0010998043,0.001589448,0.0065301317,0.013914515,-0.0015839614,0.014076005,0.0012188412,0.017096918,0.03230202,0.01563978,-0.019149842,0.028442865,0.00035938487,0.030410018
-0.054319147,-0.0059202304,-0.014746409,-0.043518238,-0.009029256,-0.019018123,-0.015613016,-0.027231114,-0.010331136,-0.024236457,-0.036288694,-0.012203764,-0.015124372,-0.010400505,-0.04105544,-0.031158917,-0.008384009,-0.026578693,-0.040792193,-0.07048383,0.020154176,-0.014336879,-0.01794056,-0.032717716,-0.017055325,0.006908469,-0.024347445,0.0009405309,-0.0407737,-0.011691902,-0.027160212,-0.017357618,-0.025217604,-0.020410044,-0.002466725,-0.01841071,-0.0372383,-0.044183645,-0.013795261,-0.039340068,-0.044574026,-0.025903542,-0.05356338,-0.034935758,-0.02550763,-0.02143718,-0.035212517,-0.027347622,-0.0046108738,-0.017707499,-0.014873714,-0.017485453,0.014253879,-0.030126141,-0.017103497,-0.0051570237,-0.01675737,-0.03077692,-0.026978059,-0.03158636,-0.013223351,-0.021373693,-0.028354438,-0.0083067585,-0.022371873,-0.0023265039,-0.0140422275,-0.010121281,-0.032664716,-0.018827291,-0.015042796,-0.025306126,-0.04137088
0.0050613577,0.004514992,0.0008176006,-0.008396274,0.018552458,-0.016617505,0.0027802142,-0.00280425,0.0014345167,-0.0052398117,0.011825848,0.003613365,-0.010008705,-0.035024706,0.007517322,0.0074021257,0.013079614,0.009073271,0.0019105625,-0.00870868,0.020114798,0.0020471793,-0.0028459255,0.008435996,0.0018283959,-0.0010840573,0.007272614,-0.013167754,0.0201095,-0.01487678,-0.015813114,-0.004591852,0.015338388,-0.010001319,0.003943558,0.0064714556,-0.004016894,0.006613576,-0.002408508,0.0082330415,0.010177887,-0.006148133,0.016502205,0.008630888,-0.0066557997,-0.0019779853,0.0005613022,0.0045923917,-0.012651637,0.01261871,0.009788673,0.009422201,0.014569419,0.0050881505,-0.009698692,0.0072370283,-0.0064502326,0.008831025,0.0044519324,0.002011941,0.0023593663,-0.0011595697,-0.0081855245,-0.0063424883,-3.3047185e-05,0.00805335,0.013330161,-0.008504509,0.0061425627,-0.007186662,0.014502549,-0.0010793918,0.006958038
-0.028317103,-0.0140999295,0.0077296183,-0.025948517,-0.015226077,-0.0179164,-0.004908926,-0.0292015,-0.022515133,-0.014074468,0.0065894416,-0.013488068,-0.0065333466,-0.015482083,0.00087118306,-0.0031448542,-0.04162084,-0.0038165497,-0.028349243,0.015462035,0.0011749655,-0.016848434,0.002548338,-0.0138623165,-0.020007752,-0.020653741,-0.012187588,-0.018680854,0.0060239392,-0.026553793,-0.009221641,-0.004377379,-0.022037515,-0.008959828,0.0013434066,-0.014504781,-0.011096768,-0.011217934,-0.027101384,-0.023682408,-0.0081028575,-0.011901349,0.0145044355,-0.010863748,-0.029624067,-0.022140473,-0.041917484,-0.014067311,-0.0339841,-0.013121022,-0.023873072,-0.011524418,0.008265449,-0.001721047,0.00059355225,-0.017425636,-0.013465373,-0.025431205,-0.0018920088,-0.015106196,-0.035241902,-0.020760626,-0.010768154,-0.0063362955,-0.019429704,-0.012525413,-0.016747655,-0.026543912,-0.008335087,-0.0037134911,-0.0029001452,-0.011061366,-0.016833685
0.009214951,0.005705323,0.003749656,0.020868303,0.014127748,0.016452609,0.007526555,0.015989156,0.020735422,0.016406527,0.008796797,0.011668633,0.01767197,0.011045127,0.014562427,0.011071454,0.00963192,-0.0011387322,0.01855963,0.008503767,0.0025769616,0.008653603,0.007451275,0.0035281882,0.016102728,0.0137165,0.0095502725,0.016572108,0.008557997,0.014789153,0.006234192,0.009233911,0.0037289348,0.011549416,0.014810243,0.01628554,0.017889176,0.00875712,0.009020226,0.008425618,0.0066489014,0.018064339,0.0075667095,0.010096938,0.02229642,0.013750064,0.015080539,0.010492191,0.020518877,0.015538727,0.017376924,0.003804548,-0.004102246,9.772353e-05,0.0073172664,0.011402398,0.0147959795,0.0065533305,0.013072276,0.014081714,0.010262726,0.018410219,0.013605312,0.021537302,0.024680672,0.016023614,0.015566031,0.011236415,0.009137136,0.0189591,-0.004751576,0.017681334,0.0036479475
