home,focusfuture,achiev,cogproc,risk,assent,see,percept,netspeak,sad,relativ,leisure,death,nonflu,discrep,focuspresent,affiliation,space,posemo,time,anx,affect,focuspast,filler,negemo,differ,swear,certain,work,anger,cause,body,relig,power,motion,insight,ingest,family,female,friend,social,health,feel,hear,drives,sexual,tentat,male,informal,bio,money,reward
-0.027685214,-0.009869532,-0.019639466,-0.012467889,-0.022798352,0.005999977,-0.03202165,-0.024131063,-0.0111874575,-0.021727653,-0.017841054,-0.033264045,-0.0311102,-0.00775907,-0.008119454,-0.011659892,-0.028499678,-0.019183245,-0.02694172,-0.01830197,-0.03404126,-0.02561871,-0.023543702,-0.04341962,-0.024183987,-0.009291609,-0.023207571,-0.013732351,-0.019874422,-0.02343495,-0.01647717,-0.022555165,-0.029063195,-0.020593038,-0.015467198,-0.0074582626,-0.027954957,-0.02988199,-0.027491217,-0.03757683,-0.02556874,-0.024958737,-0.01772793,-0.021247383,-0.0221316,-0.015345756,-0.017063688,-0.020843001,-0.013809368,-0.024255507,-0.018901717,-0.016723745
0.044403445,0.042055164,0.052273404,0.04411209,0.059924956,0.027286842,0.036274776,0.048787747,0.021273676,0.076003686,0.043027434,0.04759984,0.05642028,0.012344387,0.037501674,0.035029106,0.052202832,0.04517464,0.056298047,0.043418024,0.07969467,0.061837446,0.03656836,-0.026063286,0.066699676,0.036241814,0.03496887,0.041943282,0.053038348,0.057305854,0.05119191,0.04735909,0.055127375,0.046521798,0.03923807,0.046104167,0.04492788,0.058161214,0.05011945,0.05554464,0.04382789,0.061680153,0.054188706,0.03604436,0.051073052,0.052523058,0.04898017,0.048326116,0.029079318,0.051565193,0.044535495,0.05610434
0.016492572,0.028332526,0.026078492,0.022100018,0.017410358,0.019549608,0.024085669,0.022492377,0.020409742,0.03183612,0.02160983,0.021255335,0.023883287,0.019762391,0.011862179,0.020329274,0.024090648,0.01520366,0.03011746,0.02840671,0.036472894,0.028776303,0.02065658,-0.0040028756,0.027946327,0.01748653,0.0054555642,0.02300571,0.023547944,0.022386035,0.026845397,0.013223739,0.03033638,0.021077707,0.023707066,0.028790804,0.0176294,0.02064737,0.03315942,0.016240487,0.025082989,0.02082547,0.019465987,0.028888153,0.022000888,0.017067313,0.020657035,0.015994446,0.015395854,0.017882619,0.018473502,0.021690339
-0.031437207,-0.024220819,-0.023601152,-0.017394954,-0.02538361,-0.066853695,-0.051547565,-0.04349285,-0.06258402,-0.043247957,-0.026157165,-0.02961916,-0.062015258,-0.07622085,-0.03480614,-0.031525638,-0.017887956,-0.025733495,-0.024230871,-0.024925904,-0.007978511,-0.024665024,-0.03963821,-0.074202195,-0.026904818,-0.040892188,-0.05665705,-0.024912499,-0.021153113,-0.03540408,-0.030846506,-0.043456797,-0.011236583,-0.027954057,-0.025952257,0.00278472,-0.027287034,-0.041543536,-0.036365833,-0.0029047742,-0.037646465,-0.038102888,-0.044686075,-0.04308582,-0.02449678,-0.02413108,-0.008524694,-0.03883219,-0.056005944,-0.036272027,-0.047915056,-0.029161638
0.27970156,0.25085637,0.2034327,0.23573735,0.22336984,0.31362674,0.2620382,0.2708161,0.25624582,0.26717177,0.23356953,0.24114099,0.27256328,0.30048022,0.21959269,0.222877,0.21699281,0.24463522,0.24759254,0.23339917,0.2942262,0.2564395,0.22186151,0.2928909,0.26656067,0.22133741,0.28104913,0.2211769,0.22020574,0.26305687,0.2423117,0.25459725,0.27229658,0.23462653,0.21251523,0.22326726,0.2675234,0.2597,0.28311217,0.197607,0.23662229,0.250603,0.2600245,0.27854824,0.22445612,0.26839152,0.2783784,0.2166733,0.26304275,0.2678213,0.23117271,0.20910703
-0.075599946,-0.00479943,-0.058139835,-0.047646135,-0.047806628,-0.044816423,-0.047639888,-0.038773526,-0.07017134,-0.034406736,-0.053664602,-0.07133892,-0.064303696,-0.061946366,-0.008035387,-0.0562481,-0.06299945,-0.057073686,-0.04825309,-0.06531892,-0.045192447,-0.04426417,-0.0038713592,-0.03486744,-0.039610192,-0.052660394,-0.07759598,-0.062953345,-0.081641495,-0.04552139,-0.048771046,-0.056478914,-0.06726351,-0.065510966,-0.03285762,-0.052997548,-0.05881033,-0.10269056,-0.08498624,-0.050962046,-0.06568846,-0.05289475,-0.04316428,-0.019736873,-0.06097837,-0.056375958,-0.036131907,-0.077619396,-0.06124627,-0.05321142,-0.09072692,-0.061100688
-0.007881642,-0.01018126,-0.019942204,-0.020830844,-0.025556007,-0.009164881,-0.0245946,-0.024946082,-0.026247835,-0.021777838,-0.021832338,-0.018860506,-0.016437786,-0.036317136,-0.030263558,-0.020499418,-0.008045322,-0.027198995,-0.020532237,-0.017083809,-0.007064318,-0.018203951,-0.03922016,-0.0071949395,-0.015800437,-0.02344395,-0.0103991935,-0.020392036,-0.021044292,-0.012661539,-0.019130837,-0.027341064,-0.019768177,-0.021893764,-0.019436141,-0.019670274,-0.024429739,-0.00713639,-0.008588402,-0.009481341,-0.011734602,-0.022832667,-0.030447392,-0.020166,-0.01900714,-0.01352389,-0.018330002,-0.0084351525,-0.018696237,-0.02419081,-0.028500535,-0.023466654
0.016299784,0.030002248,0.020832414,0.026290968,0.006748716,0.02650857,0.031643584,0.0318331,0.021815022,0.015819285,0.025821099,0.02602855,-0.00109099,0.036123924,0.039571073,0.027180212,0.019498112,0.034402434,0.019079644,0.016534982,-0.0039899247,0.014018183,0.022286313,0.004711287,0.010560974,0.027222833,0.014359067,0.026070684,0.019206945,0.009344547,0.03588415,0.022562545,0.018039366,0.023536092,0.022880768,0.015032901,0.016713062,0.012608078,0.030989615,0.0016523908,0.02766294,0.013990483,0.031023549,0.041047227,0.020114299,0.017157244,0.028190501,0.026033333,0.016232109,0.019814314,0.028845178,0.01827444
0.0030651428,0.018037232,0.01721632,0.03170996,0.011861725,0.016109018,0.0036565845,0.00978995,0.015656315,0.0031619195,0.019733101,0.018593762,-0.0041589662,0.026263112,0.04082792,0.024825307,0.016568568,0.015049256,0.012880421,0.024098935,0.016959522,0.016730616,0.022346646,-0.014453959,0.02019938,0.04367128,0.0064045656,0.049968757,0.024884224,0.030041723,0.016577497,0.004253868,0.021722384,0.016415063,0.0229641,0.02957619,0.0016360856,0.023688057,0.026117666,-0.0024095068,0.02734277,0.014005289,0.008374956,0.027647866,0.016244274,0.005473582,0.020970458,0.023055578,0.013245904,0.004754641,0.015514557,0.01788808
-0.04370454,-0.030200142,-0.031091604,-0.042176638,-0.040323224,-0.04664528,-0.050124813,-0.04256226,-0.050657228,-0.039507963,-0.03354424,-0.04941508,-0.036097586,-0.036561813,-0.032728173,-0.039175518,-0.038093936,-0.034131575,-0.039232157,-0.036899757,-0.037797946,-0.041033126,-0.039525032,-0.061715398,-0.04368169,-0.031483576,-0.046265375,-0.045461316,-0.037567895,-0.04231851,-0.043143272,-0.03857194,-0.04057207,-0.04028546,-0.02969526,-0.042550996,-0.048494224,-0.044167716,-0.052384816,-0.030488722,-0.04408794,-0.043970685,-0.043392327,-0.046607517,-0.038522642,-0.038390633,-0.045614585,-0.045894008,-0.0437309,-0.040584944,-0.032623835,-0.039716296
-0.07016927,-0.08249802,-0.07617691,-0.081875734,-0.09483977,-0.112139635,-0.053082246,-0.06578475,-0.09179674,-0.056502964,-0.06721851,-0.092991956,-0.0479715,-0.076538384,-0.107601866,-0.07441903,-0.08909076,-0.075012855,-0.082685545,-0.06409736,-0.11077638,-0.089254506,-0.09197409,-0.10306516,-0.09589605,-0.11337023,-0.14652887,-0.052667428,-0.085299626,-0.10940209,-0.06268133,-0.095020235,-0.04698767,-0.07148846,-0.061573394,-0.092123166,-0.050303895,-0.059175678,-0.05025794,-0.08028173,-0.07402387,-0.08856414,-0.080392554,-0.06994709,-0.08014038,-0.1016648,-0.075476855,-0.07129449,-0.10391821,-0.07806323,-0.072685786,-0.08512976
-0.07853635,-0.05238476,-0.06123112,-0.05818035,-0.04570957,-0.10222289,-0.11142451,-0.09691782,-0.08161286,-0.06734298,-0.08040999,-0.08390317,-0.03245917,-0.053971294,-0.030298397,-0.07210061,-0.055635113,-0.08144258,-0.047767684,-0.06832208,-0.0040767686,-0.048869964,-0.042890348,-0.101783216,-0.050396238,-0.069947,-0.06660672,-0.05278103,-0.06324479,-0.05106764,-0.07600576,-0.07304164,-0.04343972,-0.044697274,-0.09343268,-0.05160708,-0.10165311,0.0026001737,-0.031390756,-0.03189013,-0.050031155,-0.08828716,-0.091125466,-0.06520777,-0.049741466,-0.084172055,-0.078279935,-0.041275743,-0.076174796,-0.08637171,-0.06641528,-0.05531904
0.0599557,0.057592906,0.06213125,0.052909352,0.05579114,0.02809714,0.04854288,0.0507525,0.043809712,0.05977158,0.054438256,0.057880927,0.0554364,0.026815366,0.02955832,0.04743643,0.05034642,0.053924285,0.05739331,0.065400235,0.05831998,0.05699758,0.04032669,0.03343975,0.056651015,0.05854546,0.050063606,0.053828556,0.06445247,0.050986838,0.050266564,0.055710908,0.06897965,0.06439095,0.045218986,0.052977502,0.057765897,0.05786364,0.061028335,0.06430142,0.055066165,0.05888019,0.050006498,0.045612026,0.060190033,0.053854242,0.06004159,0.06702117,0.042173795,0.05676205,0.06333546,0.05826408
-0.073969975,-0.102389805,-0.045887828,-0.07250078,-0.059304662,-0.118816935,-0.0690625,-0.05951107,-0.06688688,-0.019328658,-0.07547186,-0.05354314,-0.090836786,-0.07634287,-0.075742505,-0.06624955,-0.059778437,-0.06686593,-0.06038963,-0.093934,-0.08272243,-0.058244634,-0.06652351,-0.18080406,-0.056229204,-0.08432738,-0.04423382,-0.058303542,-0.059354305,-0.06452072,-0.06557597,-0.04883376,-0.07221544,-0.05976085,-0.06367777,-0.07340945,-0.048848316,-0.05709972,-0.049329545,-0.025789233,-0.06508424,-0.05237961,-0.04627239,-0.074142985,-0.058313243,-0.030316485,-0.07283462,-0.04685604,-0.06347437,-0.051272564,-0.07217684,-0.049255744
0.056432363,0.07561621,0.057911873,0.06708544,0.046748273,0.08267,0.07147699,0.06781335,0.06593566,0.060493134,0.059225142,0.06513104,0.04964576,0.066223495,0.068046995,0.06078186,0.045562305,0.051508352,0.052208446,0.053782206,0.07300855,0.053564098,0.0519617,0.1291488,0.05525087,0.06987748,0.039828468,0.057662044,0.04436677,0.050354287,0.061221436,0.061120413,0.07158142,0.051999543,0.0749986,0.08020135,0.056691214,0.024396993,0.04294896,0.034858193,0.045783818,0.048632983,0.051723707,0.07976666,0.051139224,0.050265677,0.06894099,0.032352205,0.06194652,0.05599802,0.04387025,0.04252436
