informal,posemo,affect,focuspast,death,friend,family,relativ,cogproc,social,leisure,health,filler,body,ingest,work,certain,assent,risk,affiliation,discrep,achiev,sad,motion,tentat,time,anger,swear,hear,anx,space,netspeak,female,drives,insight,power,percept,cause,sexual,nonflu,bio,feel,home,reward,male,negemo,see,money,focusfuture,relig,focuspresent,differ
0.14156528,0.10165584,0.11791177,0.17116183,0.1519723,0.12414567,0.10009643,0.062224597,0.1535068,0.14878233,0.17801677,0.09996295,0.38518062,0.13412692,0.14231382,0.072602496,0.15300351,0.15270017,0.08152011,0.15693626,0.20981316,0.03605766,0.07168989,0.09399523,0.15417284,0.06816561,0.1954583,0.23553057,0.16838801,0.0832366,0.02842873,0.08854845,0.10015651,0.08497615,0.13259938,0.05951506,0.12375109,0.15311244,0.1689303,0.1640145,0.13577814,0.06860179,0.17887138,0.058676504,0.12483137,0.13432586,0.14429787,0.14394741,0.17404957,0.15601443,0.14739986,0.17040154
-0.015816946,-0.064800136,0.0017502973,-0.03768348,0.0048716087,-0.12672262,-0.08017007,-0.055338327,-0.03451638,-0.047624484,-0.047074176,-0.0058387844,0.047360893,0.012839659,0.019650325,-0.06771887,-0.039670523,-0.028846396,0.014043796,-0.08056662,0.021560196,-0.062649764,0.10201104,-0.034925178,-0.034106687,-0.04704376,0.09798434,0.11898374,0.074610345,0.014697919,-0.07265083,-0.049013358,-0.103180476,-0.041924592,-0.0103501845,-0.028862389,0.01752593,-0.043046277,-0.021748053,0.09132003,0.006804751,-0.013511469,0.03559522,-0.08218078,-0.03665859,0.068589754,0.0029121675,-0.065001234,-0.0091671925,0.06855993,0.0019009727,-0.10347936
-0.02560717,-0.103042796,-0.15027441,-0.10362906,-0.21805222,-0.082757466,-0.08115111,-0.1063544,-0.11044577,-0.09730836,-0.17352594,-0.18223925,-0.02235593,-0.12629437,-0.14293684,-0.18983516,-0.11753426,-0.0059899557,-0.17582116,-0.09381205,-0.053107977,-0.14319398,-0.16063626,-0.08029595,-0.10348011,-0.08011022,-0.19607146,-0.0727285,-0.109932326,-0.21484327,-0.14263336,-0.012571359,-0.11454402,-0.14458981,-0.12387024,-0.16603942,-0.13824372,-0.12336387,-0.1362614,0.09182498,-0.13904637,-0.12784944,-0.09049363,-0.08682927,-0.10637791,-0.19604999,-0.15880254,-0.14340106,-0.00921836,-0.23092592,-0.07726831,-0.092171505
-0.05849695,0.037411507,0.03274988,0.06639119,0.024430806,-0.021852793,-0.07695649,-0.006976824,0.020894216,-0.020839708,0.012009016,0.020794718,0.009364116,-0.016018324,0.054809276,0.010758701,0.010008776,-0.0050016004,0.033964913,-0.0027016941,0.012183854,0.02550021,0.0033221813,0.022985512,0.03682129,-0.021002624,0.027291885,-0.010156953,-0.039613392,0.050714716,-0.019342305,-0.08889402,-0.07826737,0.019666241,0.017898105,0.023438139,0.0042245127,0.029081754,-0.03795969,-0.04150555,0.008186989,0.024563966,0.03157842,0.0386644,-0.035118878,0.02863013,-0.0035009908,0.09299366,-0.02760945,-0.13249691,-0.00920643,0.013214194
-0.046322823,-0.008175987,-0.06592534,-0.03843763,-0.039270602,-0.027752513,-0.050232224,-0.03528531,0.008211995,-0.057353638,-0.069227114,-0.03787804,-0.14111508,-0.05848468,-0.045453526,0.027723616,-0.027263101,0.0019635623,0.002836032,-0.06378785,-0.021244762,0.026432432,-0.08910026,-0.044764895,0.019871658,-0.088686615,-0.18403095,-0.22326371,-0.097016945,-0.076214835,0.00047325526,-0.023929805,-0.07396501,-0.024268745,0.057828974,-0.031715762,-0.028336553,0.022417463,-0.1357793,0.020362811,-0.04935028,-0.046661556,0.0929731,0.011019761,-0.074667946,-0.12110522,0.026938038,0.026245141,0.011867004,-0.08566376,0.023968263,-0.021575384
-0.1645011,-0.24379598,-0.2182425,-0.21007894,-0.09570073,-0.15076438,-0.15260458,-0.14368615,-0.2214754,-0.1715295,-0.1544476,-0.11320945,-0.29294634,-0.09010456,-0.13369678,-0.14718106,-0.24208719,-0.26746023,-0.22342792,-0.16919225,-0.20047493,-0.17997035,-0.16495776,-0.17380606,-0.16280362,-0.1637287,-0.19690722,-0.17769514,-0.18240544,-0.2173805,-0.10332122,-0.13991252,-0.14419927,-0.18364117,-0.23767641,-0.17508107,-0.15989356,-0.22953643,-0.11988083,-0.14773664,-0.11903127,-0.15361717,-0.15801175,-0.23045161,-0.1376339,-0.19294,-0.15356721,-0.17346698,-0.18760967,-0.1343948,-0.23886319,-0.24838173
0.21728279,0.2729501,0.2773558,0.3583944,0.35942355,0.2682828,0.23290746,0.27649295,0.31120086,0.2980213,0.34900665,0.28311554,0.28520763,0.22779542,0.24511056,0.26458868,0.30261227,0.22857179,0.37450197,0.306822,0.34687188,0.35178337,0.27726406,0.32113856,0.24443139,0.2833688,0.2975846,0.21484701,0.38480935,0.21753484,0.23451003,0.25782254,0.33911544,0.3042016,0.3444373,0.27415884,0.31683105,0.327299,0.31931585,0.12760167,0.26909027,0.28855053,0.23879394,0.33113727,0.2419853,0.28231707,0.31976292,0.21317242,0.3461181,0.4351974,0.37299213,0.31193817
0.10780458,0.008656001,0.014266575,-0.056384794,-0.029445505,0.043795463,0.12795287,0.029460015,-0.027123949,0.058936976,0.05980155,0.026910543,0.06252363,0.032047678,0.07154773,0.017525628,0.019021127,0.07341017,-0.020109545,0.032048587,-0.07027557,-0.046768725,0.0022273466,-0.025312645,0.05716121,0.06827881,0.057116073,0.14877842,0.010232096,-0.050870247,0.04230651,0.08336869,0.061271828,-0.009396224,-0.097446725,-0.011604432,0.00838539,-0.060112957,0.123239726,0.04785189,0.045940123,-0.0038542985,-0.04501681,-0.018217387,0.103256226,0.023126176,0.00022793077,-0.010764341,0.049522415,0.022404192,0.00833888,0.007982499
0.045212995,0.09550779,0.075120404,0.104825914,0.014398842,0.042900544,0.012692511,0.05846981,0.10183659,0.037438978,-0.10189471,0.042079832,0.13964635,0.04620359,0.1039044,-0.030524286,0.14873117,0.122267194,0.10466048,0.061378356,0.1204093,0.027055833,0.07292705,0.05450295,0.09403024,0.065922484,0.03376741,0.02152505,-0.02053425,0.023495927,0.05893286,0.023543034,0.007681028,0.04428715,0.096057,0.0177406,0.04596961,0.040930875,-0.024744228,0.10617633,0.051787186,0.06987043,0.04223683,0.08993054,-0.010923701,0.052139025,0.010047271,0.097346544,0.15293573,0.025538394,0.11108143,0.11392604
-0.20620278,-0.26599377,-0.26107007,-0.24267897,-0.22492935,-0.25686228,-0.18164735,-0.2910043,-0.28728172,-0.23397443,-0.14017059,-0.2877168,-0.124253884,-0.29889327,-0.19349605,-0.24210864,-0.25232434,-0.14111571,-0.25650257,-0.26224265,-0.27057016,-0.30907497,-0.28800905,-0.28314808,-0.26489735,-0.26434112,-0.22183065,-0.24538064,-0.20698908,-0.23748878,-0.31390426,-0.1976264,-0.15206994,-0.27378088,-0.33514687,-0.2690928,-0.26253724,-0.28757948,-0.19649158,-0.12759544,-0.26124072,-0.27017626,-0.23865286,-0.28291905,-0.24702883,-0.25665775,-0.31021917,-0.19188915,-0.31699374,-0.29538158,-0.30879158,-0.27218726
